07:40:47 INFO  === wrds_deep_history_episodic_scan.py: does WRDS's much deeper daily history reveal cointegrated pairs yfinance's own 1D scan (0 confirmed) lacked the depth/quality to detect? ===
07:41:52 INFO  Loaded 43662 symbols from output/cache/wrds/: 24552 total-return-adjusted (CRSP), 19110 split-only-adjusted (Compustat Global, disclosed)
07:41:52 WARNING  Skipped 1032 unreadable/corrupted cache files (0-byte or otherwise unparseable) -- re-fetch needed via live WRDS access, not attempted here: ['PZZ', 'P', 'QADA', 'QADB', 'QANT', 'QBAK', 'QBAL', 'QBC', 'QBIO', 'QBIX', 'QBTS', 'QCBC', 'QCBK', 'QCCO', 'QCFB', 'QCOM', 'QCOR', 'QCP', 'QCRH', 'QDEK']...
07:41:52 INFO  Building rolling ADV series for the liquidity gate (separate load pass, needs volume)...
07:43:16 INFO  Rolling ADV computed for 43636 symbols (threshold $25M, applied to Tier 2/3 only -- Tier 1's full-sample test is unchanged, production-identical)
07:43:16 INFO  Point-in-time membership gate ACTIVE: 2084 membership spells, 29522 symbols resolved to permnos
07:43:50 INFO  31136 symbols have >=756 bars of overlapping history
07:43:51 INFO  [TIER 1] Found existing output at /home/rw/CAMARF/output/research/wrds_deep_history_episodic_scan_tier1.parquet -- resuming from it instead of re-running correlation+EG from scratch. Delete this file first to force a genuine re-run.
07:43:53 INFO  [TIER 1] Loaded 894733 candidate pairs, 1404 full-sample confirmed (from existing file, not recomputed)
07:43:53 INFO  [TIER 2] Found existing output at /home/rw/CAMARF/output/research/wrds_deep_history_episodic_scan_tier2_windows.parquet -- resuming from it instead of re-running rolling EG from scratch. Delete this file first to force a genuine re-run.
07:43:56 INFO  [TIER 2] 720369 (pair,window) tests -> 875 episodically confirmed (>=1 FDR-rejected window)
07:43:56 INFO    [TIER 2 episodic] ADBE/PERMNO75510: 15/15 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] ADP/PERMNO44644: 17/17 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] AGN/PERMNO75646: 4/4 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] ALL/PERMNO79323: 18/18 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] AN/PERMNO76282: 3/3 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] BAC/PERMNO59408: 19/19 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] BIG/PERMNO67467: 1/1 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] BKR/PERMNO75034: 19/19 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] AAP/PERMNO89217: 8/8 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] ACN/PERMNO89071: 14/14 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] AIZ/PERMNO90038: 10/10 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] ALB/PERMNO80191: 7/7 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] AME/PERMNO85257: 3/3 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] AMT/PERMNO86111: 13/13 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] APOL/PERMNO81138: 2/2 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] A/PERMNO87432: 16/16 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] BG/PERMNO89138: 3/3 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] BKNG/PERMNO86783: 13/13 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] AMP/PERMNO90880: 10/10 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO    [TIER 2 episodic] AVGO/PERMNO93002: 1/1 windows FDR-rejected, min_adj_p=0.000e+00
07:43:56 INFO  [TIER 2] Saved -> output/research/wrds_deep_history_episodic_scan_tier2_{windows,confirmed}.parquet
07:43:56 INFO  [TIER 3] Found existing candidate-pairs cache at /home/rw/CAMARF/output/research/wrds_deep_history_episodic_scan_tier3_pairs.parquet -- resuming from it instead of re-running the multi-hour rolling correlation prefilter. Delete this file first to force a genuine re-run.
07:44:54 INFO  [TIER 3] 7834906 candidate pairs (vs Tier 1/2's 894733 static-corr-prefiltered pairs) -- running rolling-window EG discovery...
07:44:59 INFO  Resuming 'tier3_rolling' from checkpoint: 7834906/7834906 pairs already done -- skipping to pair 7834906. (Row data reconstructed from disk at the end, not loaded into memory now.)
07:44:59 INFO  Running rolling-window EG on 7834906 pairs in 15670 batches of <=500 pairs each (workers=15)...
07:44:59 INFO    done in 0.0 min
07:45:36 INFO  [TIER 3] 5003637 (pair,window) tests -> 929 episodically confirmed (>=1 FDR-rejected window)
07:45:36 INFO    [TIER 3 episodic] M/PERMNO77462: 12/12 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] MNST/PERMNO88031: 1/1 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] OI/PERMNO77157: 1/1 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] PERMNO77418/TWX: 10/10 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] PERMNO77649/STE: 1/1 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] CB/PERMNO79057: 15/15 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] CPWR/PERMNO78139: 4/4 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] PDCO/PERMNO78034: 3/3 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] ALL/PERMNO79323: 18/18 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] IT/PERMNO79698: 2/2 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] ALB/PERMNO80191: 7/7 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] COF/PERMNO81055: 17/17 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] APOL/PERMNO81138: 2/2 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] COR/PERMNO81540: 9/9 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] DRI/PERMNO81655: 13/13 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] FCX/PERMNO81774: 12/12 windows FDR-rejected, min_adj_p=0.000e+00
07:45:36 INFO    [TIER 3 episodic] MCK/PERMNO81061: 18/18 windows FDR-rejected, min_adj_p=0.000e+00
